X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
300;45;0.2430999;0.06438312;0.2430999;0.06438312;135.2;0.142093;False;11/6/2025 11:18:53 PM:160;1762438733160;;
322;51;0.2603504;0.06949902;0.2992062;0.1037461;137.9;0.1585104;False;11/6/2025 11:18:57 PM:72;1762438737072;;
322;51;0.2603578;0.06954558;0.2970232;0.1037203;138.5;0.1632915;False;11/6/2025 11:18:57 PM:102;1762438737102;;
323;51;0.2610109;0.0698484;0.2991402;0.1037381;141.2;0.1808367;False;11/6/2025 11:18:57 PM:730;1762438737730;;
323;51;0.2612281;0.06986114;0.3033521;0.1038;143.7;0.1803218;False;11/6/2025 11:18:57 PM:755;1762438737755;;
324;51;0.2623943;0.06987639;0.320324;0.1040524;144.7;0.1761013;False;11/6/2025 11:18:57 PM:778;1762438737778;;
326;51;0.2633395;0.06989056;0.318722;0.1040224;147.3;0.1711461;False;11/6/2025 11:18:57 PM:801;1762438737801;;
326;51;0.2636379;0.0699056;0.2954108;0.1031688;148.6;0.1811064;False;11/6/2025 11:18:57 PM:827;1762438737827;;
326;51;0.26391;0.06992047;0.2953945;0.1031557;149.8;0.1811087;False;11/6/2025 11:18:57 PM:854;1762438737854;;
327;51;0.2647828;0.07022491;0.2838359;0.07814523;150.8;0.1707837;False;11/6/2025 11:18:57 PM:930;1762438737930;;
328;51;0.2649601;0.07030946;0.2880045;0.08001442;151.7;0.1705357;False;11/6/2025 11:18:57 PM:952;1762438737952;;
329;51;0.2661069;0.07051614;0.3179736;0.1040358;152.9;0.1715984;False;11/6/2025 11:18:57 PM:974;1762438737974;;
329;51;0.2663282;0.07056317;0.2861182;0.09083591;153.7;0.1836644;False;11/6/2025 11:18:57 PM:996;1762438737996;;
329;51;0.2665234;0.07060593;0.2858865;0.09071598;154.5;0.1836883;False;11/6/2025 11:18:58 PM:18;1762438738018;;
330;51;0.2667207;0.07066184;0.2708304;0.09185918;155.1;0.1884376;False;11/6/2025 11:18:58 PM:72;1762438738072;;
356;52;0.2883313;0.07092081;0.3556702;0.08881375;155.1;0.1637996;False;11/6/2025 11:18:58 PM:327;1762438738327;;
359;52;0.2901894;0.07093123;0.3592897;0.09124878;155.2;0.1637235;False;11/6/2025 11:18:58 PM:348;1762438738348;;
362;52;0.2924194;0.07101759;0.3662243;0.09657763;155.5;0.164126;False;11/6/2025 11:18:58 PM:369;1762438738369;;
363;52;0.2932418;0.07139952;0.3055709;0.1013416;154.0;0.1704435;False;11/6/2025 11:18:58 PM:428;1762438738428;;
363;52;0.2935689;0.07160608;0.3086198;0.1038775;152.7;0.1705189;False;11/6/2025 11:18:58 PM:453;1762438738453;;
363;52;0.2938677;0.07165883;0.3102325;0.09806494;151.8;0.1701603;False;11/6/2025 11:18:58 PM:480;1762438738480;;
364;52;0.2941498;0.07176311;0.3297389;0.0872285;151.3;0.1642457;False;11/6/2025 11:18:58 PM:512;1762438738512;;
363;52;0.293991;0.071916;0.2903746;0.1010401;153.1;0.1634036;False;11/6/2025 11:18:58 PM:543;1762438738543;;
363;52;0.2933935;0.0719936;0.2780208;0.08513024;153.4;0.1638415;False;11/6/2025 11:18:58 PM:565;1762438738565;;
362;52;0.2928169;0.07205761;0.2756206;0.08417888;153.7;0.1638461;False;11/6/2025 11:18:58 PM:585;1762438738585;;
360;52;0.2914171;0.07209989;0.2608782;0.08873744;154.4;0.1762313;False;11/6/2025 11:18:58 PM:607;1762438738607;;
360;53;0.2909389;0.07212108;0.273814;0.07420454;154.9;0.1888205;False;11/6/2025 11:18:58 PM:628;1762438738628;;
359;53;0.2905046;0.07213939;0.2735423;0.07410824;155.3;0.1888257;False;11/6/2025 11:18:58 PM:650;1762438738650;;
359;53;0.2905148;0.07212826;0.2929059;0.07103897;155.8;0.1777477;False;11/6/2025 11:18:58 PM:673;1762438738673;;
358;53;0.2895969;0.07213159;0.2644743;0.0861161;156.6;0.1743036;False;11/6/2025 11:18:58 PM:700;1762438738700;;
357;53;0.2889216;0.07213666;0.2653565;0.08650497;157.4;0.1743321;False;11/6/2025 11:18:58 PM:726;1762438738726;;
357;53;0.2888277;0.07253926;0.2799682;0.1034668;156.5;0.171625;False;11/6/2025 11:18:58 PM:756;1762438738756;;
357;53;0.2888238;0.07259433;0.2860605;0.08257952;156.3;0.1690013;False;11/6/2025 11:18:58 PM:791;1762438738791;;
358;53;0.2894189;0.07294051;0.3090487;0.1023058;155.7;0.1754267;False;11/6/2025 11:18:58 PM:824;1762438738824;;
358;53;0.2897903;0.07318249;0.3097857;0.1039136;156.1;0.1592088;False;11/6/2025 11:18:58 PM:847;1762438738847;;
359;53;0.2902301;0.07340132;0.3126674;0.103983;154.8;0.1654216;False;11/6/2025 11:18:58 PM:870;1762438738870;;
