X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
326;12;0.320035;0.02863753;0.320035;0.02863753;136.2;0.1254331;True;11/6/2025 11:21:04 PM:184;1762438864184;;
328;12;0.3221503;0.02883953;0.3415321;0.03773271;136.9;0.135971;False;11/6/2025 11:21:04 PM:710;1762438864710;;
316;12;0.310024;0.02874993;0.272968;0.02536381;138.4;0.1493122;False;11/6/2025 11:21:05 PM:322;1762438865322;;
315;12;0.3094794;0.02874527;0.2735051;0.02529358;139.0;0.1250124;True;11/6/2025 11:21:05 PM:358;1762438865358;;
314;12;0.3085526;0.02874392;0.2657332;0.02640006;139.3;0.1256935;True;11/6/2025 11:21:05 PM:395;1762438865395;;
314;12;0.3084584;0.02873407;0.282927;0.02393347;139.3;0.1286297;True;11/6/2025 11:21:05 PM:438;1762438865438;;
301;12;0.296038;0.02875471;0.2365079;0.03059426;139.5;0.1386342;False;11/6/2025 11:21:05 PM:854;1762438865854;;
301;12;0.2952579;0.02875059;0.262222;0.02691223;139.3;0.1285549;True;11/6/2025 11:21:05 PM:913;1762438865913;;
300;12;0.294827;0.0287507;0.2481463;0.02892646;139.6;0.1337968;True;11/6/2025 11:21:05 PM:987;1762438865987;;
300;12;0.2942242;0.02875135;0.2441909;0.02949685;139.8;0.129788;True;11/6/2025 11:21:06 PM:45;1762438866045;;
297;12;0.292017;0.02875816;0.2295246;0.03160158;139.9;0.1266884;True;11/6/2025 11:21:06 PM:105;1762438866105;;
297;12;0.2915016;0.02875949;0.2369616;0.03053422;140.5;0.1249167;True;11/6/2025 11:21:06 PM:148;1762438866148;;
296;12;0.2909473;0.02875864;0.254134;0.02806491;141.0;0.1313267;True;11/6/2025 11:21:06 PM:187;1762438866187;;
296;12;0.2902857;0.0287547;0.2640812;0.02663947;141.2;0.1284302;True;11/6/2025 11:21:06 PM:227;1762438866227;;
295;12;0.2897916;0.0287409;0.2791775;0.02447487;141.4;0.1206654;True;11/6/2025 11:21:06 PM:276;1762438866276;;
295;12;0.2894035;0.02872665;0.280726;0.02425272;141.8;0.1260462;True;11/6/2025 11:21:06 PM:337;1762438866337;;
295;12;0.2892606;0.02870097;0.287154;0.02342123;143.5;0.1341827;True;11/6/2025 11:21:06 PM:456;1762438866456;;
294;12;0.2892131;0.02869919;0.2759466;0.0249389;145.1;0.1413961;False;11/6/2025 11:21:06 PM:493;1762438866493;;
294;12;0.2891633;0.02869287;0.2859331;0.02349579;145.6;0.1249367;True;11/6/2025 11:21:06 PM:531;1762438866531;;
294;12;0.2889999;0.02869077;0.2696638;0.0258328;146.7;0.1314314;True;11/6/2025 11:21:06 PM:571;1762438866571;;
294;12;0.2885167;0.02868847;0.2617745;0.02705431;147.7;0.1465882;False;11/6/2025 11:21:06 PM:614;1762438866614;;
294;12;0.2884066;0.02868136;0.2824033;0.02400628;148.7;0.1266061;True;11/6/2025 11:21:06 PM:673;1762438866673;;
294;12;0.288301;0.028679;0.2716225;0.02556213;149.0;0.1332847;True;11/6/2025 11:21:06 PM:738;1762438866738;;
289;12;0.2841089;0.02869642;0.2224291;0.03260961;148.6;0.149245;False;11/6/2025 11:21:06 PM:779;1762438866779;;
286;12;0.2813286;0.02870297;0.2406927;0.02999781;147.6;0.1409924;False;11/6/2025 11:21:06 PM:918;1762438866918;;
